,xdata,Q,Qm,Wstart,Ctot,P,Ep,Ea
71,71,0.33,0.1383219019417922,0.0,0.0,0.8145,4.94653,1.1747810842716533
72,72,0.3,0.09367090091347494,0.0,0.0,0.0,4.87142,0.6355032391235649
73,73,0.17,0.052806217230394296,0.0,0.0,0.0,4.9679899999999995,1.0936252797207826
74,74,0.19,0.029043419476716865,0.0,0.0,0.0,4.76412,1.0004752234081113
75,75,0.18,0.019001503822952216,0.0,0.0,2.5738200000000004,5.08602,1.040615054686634
76,76,0.52,0.033654893349798265,0.0,0.0,3.1602600000000005,4.95726,1.0829806892874934
77,77,0.31,0.06246160149637837,0.0,0.0,1.81362,5.19332,1.1453331418769417
78,78,0.39,0.05838223561540717,0.0,0.0,0.0,5.10748,0.6374308163578445
79,79,0.28,0.0344756699276719,0.0,0.0,0.0,5.0431,1.025565162290107
80,80,0.31,0.018961618460219543,0.0,0.0,0.0,5.13967,0.9973822617419148
81,81,0.16,0.010428890153120748,0.0,0.0,0.0,5.0431,0.9332680758802737
82,82,0.16,0.005735889584216411,0.0,0.0,0.0,5.17186,0.9138093413399083
83,83,0.14,0.0031547392713190264,0.0,0.0,0.42354,5.03237,0.8481643942543518
84,84,0.14,0.0017351065992254645,0.0,0.0,0.0,4.83923,0.7110406181608226
85,85,0.11,0.0009543086295740053,0.0,0.0,0.543,4.978719999999999,0.7705171964433701
86,86,0.18,0.006191663357723675,0.0,0.0,3.0951000000000004,4.9679899999999995,0.7964954265183508
87,87,0.1,0.013686111816655078,0.0,0.0,0.0,5.05383,0.45771795757306516
88,88,0.11,0.0087264550273448,0.0,0.0,0.0,4.83923,0.7205117457819652
89,89,0.11,0.004799550265039639,0.0,0.0,0.0,4.94653,0.705502566195045
90,90,0.11,0.002639752645771802,0.0,0.0,0.33666,5.34354,0.7295522225419787
91,91,0.11,0.0014518639551744908,100.0,0.0,0.89052,5.23624,0.6821064020034421
92,92,0.1,0.00079852517534597,0.0,0.0,0.0,5.161129999999999,0.4895841003683738
93,93,0.15,0.0004391888464402835,0.0,0.0,0.0,5.30062,0.6376850044294345
94,94,0.14,0.0002415538655421559,0.0,0.0,0.0,5.332809999999999,0.612915209738997
95,95,0.15,0.01264661806279701,0.0,0.0,7.580280000000001,5.332809999999999,0.8212827955302234
96,96,0.16,0.029658109561488077,0.0,0.0,0.0,5.37573,0.48383111090126085
97,97,0.15,0.018959872602034494,0.0,0.0,0.0,5.6010599999999995,0.793878940364169
98,98,0.13,0.01042792993111897,0.0,0.0,0.0,5.2684299999999995,0.7107583730721507
99,99,0.07,0.012526501325717095,0.0,0.0,4.3983,5.246969999999999,0.773113214835631
100,100,0.07,0.019210061669690533,0.0,0.0,0.0,5.46157,0.47675788602156727
101,101,0.07,0.012002539113467905,0.0,0.0,0.0,5.76201,0.7840357352073127
102,102,0.07,0.006601396512407348,0.0,0.0,0.0,5.46157,0.7066280599735941
103,103,0.07,0.0036307680818240405,0.0,0.0,0.0,5.643979999999999,0.6964688991074819
104,104,0.07,0.001996922445003222,0.0,0.0,0.0,5.12894,0.6029004945391
105,105,0.06,0.0010983073447517725,0.0,0.0,0.7384800000000001,5.37573,0.6048884186890566
106,106,0.06,0.0006040690396134748,0.0,0.0,0.0,5.20405,0.4801170178878868
107,107,0.02,0.00033223797178741116,0.0,0.0,0.0,5.34354,0.5534317465704813
108,108,0.02,0.00018273088448307612,0.0,0.0,0.0,5.55814,0.5505507130847828
109,109,0.02,0.00010050198646569187,0.0,0.0,0.0,5.50449,0.520694232348062
110,110,0.03,5.527609255613052e-05,0.0,0.0,0.0,5.643979999999999,0.5102838848056744
111,111,0.05,3.0401850905871787e-05,0.0,0.0,0.0,5.429379999999999,0.4688109426914838
112,112,0.02,0.002903784169986969,0.0,0.0,3.9964800000000005,5.28989,0.5204054543009957
113,113,0.04,0.00836303338974636,0.0,0.0,0.84708,5.31135,0.5353209503089094
114,114,0.07,0.007983107792157319,0.0,0.0,0.0,5.32208,0.31414172508250393
115,115,0.07,0.007181879616117708,0.0,0.0,3.4317600000000006,5.4723,0.5736672962140087
116,116,0.13,0.03453357743887003,0.0,0.0,13.173180000000002,5.161129999999999,1.0631190249107256
117,117,0.13,0.09877131927080655,0.0,0.0,5.7340800000000005,5.27916,1.254859110244818
118,118,0.24,0.2834133347096295,0.0,0.0,23.91372,5.27916,2.1065364322311426
