,x_fit,Es_fit_ppf,y_utility
9852,45447195853.790016,11.299325848786435,12.626769446721445
9853,45450168424.453186,11.298611826835085,12.626546696644885
9854,45453140995.116356,11.297897739258964,12.626323965065515
9855,45456113565.779526,11.297183586058072,12.626101251980586
9856,45459086136.44269,11.296469367232412,12.62587855738734
9857,45462058707.105865,11.295755082781977,12.625655881283054
9858,45465031277.76903,11.295040732706774,12.62543322366496
9859,45468003848.432205,11.294326317006796,12.62521058453034
9860,45470976419.09537,11.29361183568205,12.624987963876443
9861,45473948989.758545,11.29289728873253,12.624765361700517
9862,45476921560.42171,11.292182676158241,12.624542777999835
9863,45479894131.08488,11.291467997959181,12.624320212771647
9864,45482866701.74805,11.290753254135348,12.62409766601321
9865,45485839272.41122,11.290038444686747,12.623875137721795
9866,45488811843.07439,11.289323569613373,12.62365262789465
9867,45491784413.73756,11.288608628915226,12.623430136529047
9868,45494756984.40073,11.28789362259231,12.623207663622239
9869,45497729555.06389,11.287178550644622,12.622985209171503
9870,45500702125.727066,11.286463413072163,12.62276277317408
9871,45503674696.39023,11.285748209874935,12.622540355627264
9872,45506647267.053406,11.28503294105293,12.622317956528278
9873,45509619837.71657,11.284317606606159,12.622095575874432
9874,45512592408.37974,11.283602206534615,12.621873213662962
9875,45515564979.04291,11.2828867408383,12.62165086989115
9876,45518537549.70608,11.282171209517214,12.621428544556256
9877,45521510120.36925,11.281455612571357,12.621206237655532
9878,45524482691.03242,11.28073995000073,12.620983949186273
9879,45527455261.69559,11.280024221805329,12.620761679145742
9880,45530427832.35875,11.279308427985159,12.62053942753119
9881,45533400403.02193,11.278592568540216,12.620317194339904
9882,45536372973.68509,11.277876643470504,12.620094979569147
9883,45539345544.34827,11.277160652776018,12.619872783216186
9884,45542318115.01143,11.276444596456763,12.619650605278308
9885,45545290685.67461,11.275728474512736,12.619428445752773
9886,45548263256.33777,11.275012286943939,12.619206304636844
9887,45551235827.00094,11.274296033750371,12.618984181927818
9888,45554208397.66411,11.27357971493203,12.618762077622955
9889,45557180968.32728,11.272863330488917,12.618539991719526
9890,45560153538.99045,11.272146880421037,12.618317924214807
9891,45563126109.65362,11.271430364728381,12.618095875106079
9892,45566098680.31679,11.270713783410958,12.617873844390623
9893,45569071250.97995,11.269997136468763,12.617651832065702
9894,45572043821.64313,11.269280423901794,12.617429838128604
9895,45575016392.30629,11.268563645710056,12.617207862576604
9896,45577988962.96947,11.267846801893546,12.616985905406963
9897,45580961533.63263,11.267129892452266,12.616763966616993
9898,45583934104.2958,11.266412917386212,12.616542046203959
9899,45586906674.95897,11.265695876695391,12.616320144165137
9900,45589879245.62214,11.264978770379797,12.616098260497798
9901,45592851816.28531,11.264261598439429,12.615876395199242
9902,45595824386.94848,11.263544360874294,12.615654548266741
9903,45598796957.61165,11.262827057684387,12.61543271969758
9904,45601769528.27481,11.262109688869709,12.615210909489043
9905,45604742098.93799,11.261392254430255,12.614989117638409
9906,45607714669.60115,11.260674754366036,12.614767344142976
9907,45610687240.26433,11.259957188677042,12.61454558900002
9908,45613659810.92749,11.25923955736328,12.61432385220681
9909,45616632381.59067,11.258521860424743,12.614102133760657
9910,45619604952.25383,11.257804097861438,12.613880433658833
9911,45622577522.917,11.257086269673362,12.613658751898633
9912,45625550093.58017,11.256368375860513,12.613437088477342
9913,45628522664.24334,11.255650416422894,12.61321544339224
9914,45631495234.90651,11.254932391360501,12.612993816640632
9915,45634467805.56968,11.25421430067334,12.612772208219793
9916,45637440376.23285,11.253496144361407,12.612550618127024
9917,45640412946.89601,11.252777922424706,12.612329046359608
9918,45643385517.55919,11.252059634863228,12.612107492914834
9919,45646358088.22235,11.251341281676982,12.611885957789994
9920,45649330658.88553,11.250622862865963,12.61166444098239
9921,45652303229.54869,11.249904378430175,12.611442942489308
9922,45655275800.21186,11.249185828369614,12.611221462308043
9923,45658248370.87503,11.248467212684282,12.611000000435894
9924,45661220941.5382,11.24774853137418,12.610778556870146
9925,45664193512.20137,11.247029784439306,12.610557131608099
9926,45667166082.86454,11.24631097187966,12.610335724647042
