,x_fit,Es_fit_ppf,y_utility
4855,31155078821.60382,14.385350662821011,14.386627111108442
4856,31158098821.04074,14.384957325517368,14.386250988785354
4857,31161118820.47767,14.384563919707146,14.385874912748031
4858,31164138819.91459,14.38417044539035,14.3854988829863
4859,31167158819.351517,14.383776902566973,14.385122899489978
4860,31170178818.788437,14.38338329123702,14.3847469622489
4861,31173198818.225365,14.382989611400491,14.384371071252872
4862,31176218817.662285,14.382595863057386,14.383995226491743
4863,31179238817.099213,14.3822020462077,14.383619427955336
4864,31182258816.536133,14.381808160851438,14.383243675633507
4865,31185278815.973057,14.381414206988602,14.382867969516075
4866,31188298815.40998,14.381020184619185,14.382492309592914
4867,31191318814.846905,14.380626093743192,14.382116695853847
4868,31194338814.28383,14.380231934360621,14.381741128288747
4869,31197358813.720753,14.379837706471472,14.381365606887442
4870,31200378813.157677,14.379443410075748,14.380990131639813
4871,31203398812.5946,14.379049045173446,14.380614702535702
4872,31206418812.031525,14.378654611764563,14.38023931956498
4873,31209438811.46845,14.378260109849109,14.379863982717525
4874,31212458810.905373,14.377865539427074,14.379488691983196
4875,31215478810.342293,14.377470900498462,14.379113447351871
4876,31218498809.77922,14.377076193063273,14.378738248813438
4877,31221518809.21614,14.376681417121507,14.378363096357743
4878,31224538808.65307,14.376286572673163,14.377987989974704
4879,31227558808.08999,14.375891659718242,14.37761292965419
4880,31230578807.526917,14.375496678256743,14.377237915386104
4881,31233598806.963837,14.375101628288668,14.376862947160326
4882,31236618806.400764,14.374706509814015,14.376488024966756
4883,31239638805.837685,14.374311322832787,14.376113148795284
4884,31242658805.27461,14.373916067344979,14.375738318635836
4885,31245678804.711533,14.373520743350594,14.375363534478305
4886,31248698804.148457,14.373125350849632,14.37498879631259
4887,31251718803.58538,14.372729889842093,14.374614104128623
4888,31254738803.022305,14.372334360327976,14.374239457916294
4889,31257758802.45923,14.371938762307284,14.373864857665543
4890,31260778801.896152,14.371543095780012,14.37349030336629
4891,31263798801.333076,14.371147360746164,14.373115795008445
4892,31266818800.77,14.370751557205738,14.372741332581954
4893,31269838800.206924,14.370355685158735,14.372366916076741
4894,31272858799.643845,14.369959744605156,14.371992545482723
4895,31275878799.080772,14.369563735544997,14.371618220789859
4896,31278898798.517693,14.369167657978263,14.3712439419881
4897,31281918797.95462,14.368771511904951,14.37086970906736
4898,31284938797.39154,14.368375297325063,14.370495522017608
4899,31287958796.82847,14.367979014238594,14.370121380828767
4900,31290978796.26539,14.367582662645551,14.369747285490831
4901,31293998795.702316,14.36718624254593,14.369373235993727
4902,31297018795.139236,14.366789753939731,14.368999232327427
4903,31300038794.57616,14.366393196826955,14.368625274481886
4904,31303058794.013084,14.365996571207603,14.368251362447069
4905,31306078793.45001,14.365599877081673,14.367877496212966
4906,31309098792.886932,14.365203114449166,14.36750367576952
4907,31312118792.323856,14.364806283310081,14.367129901106722
4908,31315138791.76078,14.364409383664418,14.366756172214558
4909,31318158791.197704,14.364012415512178,14.366382489082994
4910,31321178790.63463,14.36361537885336,14.366008851702011
4911,31324198790.071552,14.363218273687966,14.365635260061623
4912,31327218789.508476,14.362821100015996,14.365261714151808
4913,31330238788.945396,14.362423857837449,14.364888213962557
4914,31333258788.382324,14.362026547152322,14.364514759483859
4915,31336278787.819244,14.361629167960619,14.36414135070573
4916,31339298787.256172,14.361231720262337,14.36376798761818
4917,31342318786.693092,14.36083420405748,14.363394670211195
4918,31345338786.13002,14.360436619346045,14.363021398474787
4919,31348358785.56694,14.360038966128034,14.362648172398995
4920,31351378785.00387,14.359641244403441,14.36227499197381
4921,31354398784.44079,14.359243454172276,14.361901857189272
4922,31357418783.877716,14.35884559543453,14.361528768035386
4923,31360438783.314636,14.35844766819021,14.361155724502174
4924,31363458782.75156,14.35804967243931,14.36078272657968
4925,31366478782.188484,14.357651608181836,14.360409774257944
4926,31369498781.62541,14.357253475417782,14.360036867526984
4927,31372518781.062332,14.35685527414715,14.359664006376843
4928,31375538780.499256,14.356457004369943,14.359291190797562
4929,31378558779.93618,14.356058666086158,14.358918420779185
4930,31381578779.373104,14.355660259295796,14.358545696311753
4931,31384598778.810028,14.355261783998856,14.358173017385342
4932,31387618778.24695,14.354863240195339,14.357800383989982
4933,31390638777.683876,14.354464627885243,14.357427796115747
4934,31393658777.120796,14.354065947068573,14.357055253752687
4935,31396678776.557724,14.353667197745324,14.356682756890866
4936,31399698775.994644,14.353268379915498,14.356310305520347
4937,31402718775.431572,14.352869493579092,14.355937899631204
4938,31405738774.868492,14.352470538736114,14.355565539213531
4939,31408758774.30542,14.352071515386553,14.355193224257366
4940,31411778773.74234,14.351672423530418,14.354820954752816
4941,31414798773.179268,14.351273263167705,14.354448730689942
4942,31417818772.616188,14.350874034298418,14.354076552058848
4943,31420838772.053112,14.35047473692255,14.353704418849626
4944,31423858771.490036,14.350075371040104,14.35333233105235
4945,31426878770.92696,14.349675936651083,14.352960288657119
4946,31429898770.363884,14.349276433755483,14.352588291654026
4947,31432918769.800808,14.348876862353308,14.352216340033197
4948,31435938769.237732,14.348477222444554,14.35184443378471
4949,31438958768.674656,14.348077514029223,14.351472572898693
4950,31441978768.11158,14.347677737107315,14.351100757365234
4951,31444998767.548504,14.347277891678829,14.350728987174458
4952,31448018766.985428,14.346877977743766,14.35035726231648
