,x_fit,Es_fit_ppf,y_utility
1094,19096647553.61372,14.785531300396462,15.548178428570555
1095,19099356545.97611,14.785424971584176,15.547583575244824
1096,19102065538.3385,14.78531856627536,15.546988829038712
1097,19104774530.70089,14.785212084470016,15.546394189917756
1098,19107483523.06328,14.785105526168143,15.545799657847457
1099,19110192515.425667,14.784998891369742,15.545205232793395
1100,19112901507.78806,14.784892180074815,15.544610914721147
1101,19115610500.150448,14.784785392283357,15.544016703596276
1102,19118319492.51284,14.78467852799537,15.543422599384396
1103,19121028484.87523,14.784571587210856,15.542828602051134
1104,19123737477.237617,14.784464569929813,15.542234711562102
1105,19126446469.60001,14.784357476152241,15.541640927882979
1106,19129155461.9624,14.784250305878142,15.54104725097942
1107,19131864454.324787,14.784143059107514,15.540453680817109
1108,19134573446.68718,14.784035735840357,15.539860217361731
1109,19137282439.04957,14.783928336076672,15.539266860579014
1110,19139991431.411957,14.783820859816458,15.538673610434687
1111,19142700423.77435,14.783713307059717,15.53808046689449
1112,19145409416.136738,14.783605677806445,15.537487429924193
1113,19148118408.499126,14.783497972056647,15.53689449948956
1114,19150827400.86152,14.78339018981032,15.536301675556395
1115,19153536393.223907,14.783282331067465,15.535708958090497
1116,19156245385.586296,14.78317439582808,15.535116347057713
1117,19158954377.94869,14.783066384092166,15.53452384242386
1118,19161663370.311077,14.782958295859725,15.533931444154822
1119,19164372362.67347,14.782850131130756,15.533339152216422
1120,19167081355.03586,14.782741889905259,15.532746966574603
1121,19169790347.398247,14.782633572183231,15.532154887195242
1122,19172499339.760635,14.782525177964677,15.531562914044258
1123,19175208332.123028,14.782416707249594,15.530971047087588
1124,19177917324.485416,14.782308160037982,15.53037928629119
1125,19180626316.84781,14.782199536329841,15.52978763162102
1126,19183335309.210197,14.782090836125173,15.529196083043072
1127,19186044301.572586,14.781982059423974,15.528604640523337
1128,19188753293.93498,14.78187320622625,15.528013304027844
1129,19191462286.297367,14.781764276531995,15.527422073522597
1130,19194171278.659756,14.781655270341213,15.52683094897365
1131,19196880271.02215,14.781546187653902,15.52623993034707
1132,19199589263.384537,14.781437028470062,15.525649017608938
1133,19202298255.746925,14.781327792789694,15.525058210725327
1134,19205007248.109318,14.781218480612798,15.524467509662376
1135,19207716240.471706,14.781109091939374,15.523876914386175
1136,19210425232.834095,14.78099962676942,15.52328642486289
1137,19213134225.196487,14.780890085102937,15.522696041058651
1138,19215843217.558876,14.780780466939929,15.52210576293965
1139,19218552209.921265,14.78067077228039,15.521515590472076
1140,19221261202.283657,14.780561001124322,15.520925523622095
1141,19223970194.646046,14.780451153471727,15.520335562355966
1142,19226679187.00844,14.780341229322604,15.519745706639892
1143,19229388179.370827,14.78023122867695,15.519155956440144
1144,19232097171.733215,14.78012115153477,15.518566311722974
1145,19234806164.095604,14.78001099789606,15.517976772454665
1146,19237515156.457996,14.779900767760823,15.517387338601505
1147,19240224148.820385,14.779790461129057,15.516798010129802
1148,19242933141.182777,14.779680078000762,15.5162087870059
1149,19245642133.545166,14.77956961837594,15.515619669196129
1150,19248351125.907555,14.779459082254588,15.51503065666683
1151,19251060118.269947,14.779348469636707,15.514441749384405
1152,19253769110.632336,14.7792377805223,15.513852947315227
1153,19256478102.994724,14.779127014911362,15.513264250425705
1154,19259187095.357117,14.779016172803896,15.512675658682245
1155,19261896087.719505,14.778905254199904,15.512087172051292
1156,19264605080.081894,14.778794259099381,15.511498790499285
1157,19267314072.444286,14.778683187502331,15.51091051399271
1158,19270023064.806675,14.77857203940875,15.510322342498025
1159,19272732057.169064,14.778460814818644,15.509734275981742
1160,19275441049.531456,14.778349513732007,15.50914631441036
1161,19278150041.893845,14.778238136148843,15.50855845775042
1162,19280859034.256233,14.77812668206915,15.507970705968457
1163,19283568026.618626,14.778015151492928,15.507383059031014
1164,19286277018.981014,14.777903544420179,15.50679551690468
1165,19288986011.343407,14.7777918608509,15.506208079556052
1166,19291695003.705795,14.777680100785094,15.505620746951703
1167,19294403996.068184,14.777568264222758,15.505033519058285
1168,19297112988.430573,14.777456351163895,15.504446395842406
1169,19299821980.792965,14.777344361608503,15.503859377270732
1170,19302530973.155354,14.777232295556583,15.503272463309912
1171,19305239965.517746,14.777120153008132,15.502685653926651
1172,19307948957.880135,14.777007933963155,15.502098949087618
1173,19310657950.242523,14.77689563842165,15.501512348759547
1174,19313366942.604916,14.776783266383616,15.50092585290915
1175,19316075934.967304,14.776670817849054,15.500339461503163
1176,19318784927.329693,14.776558292817962,15.499753174508362
1177,19321493919.692085,14.776445691290341,15.499166991891496
1178,19324202912.054474,14.776333013266195,15.498580913619366
1179,19326911904.416862,14.776220258745518,15.497994939658765
1180,19329620896.779255,14.776107427728313,15.497409069976515
1181,19332329889.141644,14.775994520214578,15.496823304539452
1182,19335038881.504032,14.775881536204317,15.496237643314423
1183,19337747873.866425,14.775768475697527,15.495652086268278
1184,19340456866.228813,14.775655338694207,15.49506663336791
1185,19343165858.5912,14.775542125194361,15.49448128458022
1186,19345874850.953594,14.775428835197985,15.493896039872084
1187,19348583843.315983,14.775315468705081,15.493310899210472
1188,19351292835.67837,14.775202025715648,15.492725862562274
1189,19354001828.040764,14.775088506229688,15.492140929894479
1190,19356710820.403152,14.774974910247197,15.491556101174034
1191,19359419812.76554,14.77486123776818,15.49097137636794
1192,19362128805.127934,14.774747488792633,15.490386755443168
1193,19364837797.490322,14.774633663320557,15.48980223836677
1194,19367546789.852715,14.774519761351955,15.489217825105753
1195,19370255782.215103,14.774405782886824,15.488633515627171
1196,19372964774.57749,14.774291727925164,15.488049309898074
1197,19375673766.93988,14.774177596466975,15.48746520788554
1198,19378382759.302273,14.774063388512257,15.48688120955667
1199,19381091751.66466,14.773949104061012,15.486297314878543
1200,19383800744.027054,14.773834743113238,15.485713523818294
1201,19386509736.389442,14.773720305668935,15.485129836343075
1202,19389218728.75183,14.773605791728103,15.48454625242001
1203,19391927721.114223,14.773491201290746,15.483962772016266
1204,19394636713.476612,14.773376534356856,15.483379395099034
1205,19397345705.839,14.77326179092644,15.482796121635499
1206,19400054698.201393,14.773146970999496,15.482212951592881
1207,19402763690.56378,14.773032074576022,15.4816298849384
1208,19405472682.92617,14.772917101656022,15.481046921639287
1209,19408181675.288563,14.772802052239491,15.480464061662794
1210,19410890667.65095,14.772686926326433,15.479881304976221
